datetime,americano,cafelatte,cafemoca,caramelmatk,icedamericano,weather_avgtemp,weather_avgmoist,weather_avgwindspeed,weather_rain,weather_maxtemp,weather_maxwindspeed,weather_mintemp
2016-06-24,35.18592,23.27069,15.43382,26.34946,9.55617,22.54814815,80.46153846,1.544444444,5.124074074,26.21666667,4.087037037,20.05555556
2016-06-25,33.2267,23.75049,15.55377,25.54978,8.91643,22.29259259,67.8974359,2.177777778,0.037037037,27.25925926,4.766666667,18.15925926
2016-06-26,36.9852,26.30947,17.15313,27.38904,11.07556,23.73703704,64.25641026,1.805555556,0,30.65925926,4.418518519,17.64259259
2016-06-27,37.26509,24.39024,14.51419,25.26989,11.07556,23.53888889,65.20512821,1.114814815,0,29.07777778,2.916666667,18.67407407
2016-06-28,37.18512,23.2307,14.19432,24.99,12.2351,24.06296296,65.20512821,1.287037037,0,30.13333333,3.414814815,18.50925926
2016-06-29,35.54578,18.47261,13.55457,26.50939,13.59456,24.67777778,64.82051282,1.709259259,0,30.3037037,4.031481481,20.00925926
2016-06-30,39.26429,19.27229,14.55417,26.90923,11.79528,24.35185185,80.35897436,1.87037037,0.962962963,27.90555556,4.12962963,22.07407407
2016-07-01,30.42782,20.51179,15.03398,27.2291,8.07676,23.88148148,87.46153846,1.814814815,100.6666667,27.34814815,4.898148148,21.91851852
2016-07-02,32.86685,21.19152,16.47341,27.54898,8.87644,23.43518519,81.61538462,1.694444444,2.683333333,27.78888889,3.837037037,20.52222222
2016-07-03,34.94602,20.39184,18.19272,28.02878,9.79608,22.86666667,76.84615385,1.112962963,0.018518519,26.55,2.825925926,19.90740741
2016-07-04,35.38584,20.31187,16.19352,26.94922,9.2363,21.52592593,87.79487179,1.785185185,37.04444444,24.25,4.068518519,19.51851852
2016-07-05,37.14514,22.55097,16.35345,28.66853,8.63654,22.78679245,93,2.164814815,96.60555556,25.36481481,5.292592593,20.00555556
2016-07-06,34.54618,21.11155,16.2335,28.10875,11.71531,22.46296296,81.05128205,1.283333333,0.775925926,27.39814815,3.031481481,19.3462963
2016-07-07,36.10555,20.79168,14.03438,26.46941,12.55497,23.42592593,78.64102564,0.896296296,0.324074074,28.55925926,2.814814815,19.38888889
2016-07-08,34.26629,17.87285,14.31427,25.66973,14.43422,26.27962963,72.02564103,1.188888889,0,32.64444444,3.2,20.08703704
2016-07-09,30.54778,17.03318,15.11395,23.87045,12.55497,26.90185185,70.46153846,1.314814815,0,33.01481481,3.605555556,21.53333333
2016-07-10,35.62574,18.95241,14.43422,24.35025,13.55457,26.82222222,71.56410256,1.172222222,0,32.95555556,3.198148148,21.7537037
2016-07-11,36.14554,17.83286,13.43462,25.94962,15.31387,27.53333333,71.78947368,1.109259259,1.303703704,34.1462963,3.583333333,22.87407407
2016-07-12,37.14514,18.55257,14.75409,25.7497,13.9944,25.5,75.38461538,1.307407407,3.825925926,30.41851852,3.512962963,21.72777778
