datetime,juice,ia,latte,coco,icetea
2016-01-01,4.18237,0.49848,19.52583,7.48936,1.41033
2016-01-02,4.53495,0.58358,20.19452,7.57446,1.72644
2016-01-03,4.8389,0.82674,21.79939,9.27659,2.27355
2016-01-04,5.9696,0.80243,22.7234,11.75683,2.1155
2016-01-05,5.51975,0.65653,22.68693,11.84194,2.28571
2016-01-06,6.05471,0.53495,22.5775,11.44072,2.16413
2016-01-07,6.56534,0.75379,22.09118,12.40121,2.41945
2016-01-08,6.51671,0.63221,23.13677,11.00303,1.90881
2016-01-09,4.48632,0.64437,22.55319,8.99696,1.81155
2016-01-10,5.19148,0.66869,22.22492,9.45896,2.33434
2016-01-11,7.92705,0.77811,23.45288,11.68389,2.21276
2016-01-12,7.74468,0.72948,22.94224,12.30395,2.62613
2016-01-13,8.14589,0.85106,24.09726,12.10942,2.56534
2016-01-14,7.30699,0.76595,22.75987,12.04863,2.71124
2016-01-15,7.14893,0.79027,22.31003,10.27355,2.44376
2016-01-16,5.67781,1.08206,21.16717,8.01215,1.70212
2016-01-17,5.98176,0.74164,22.97872,11.98784,2.26139
2016-01-18,6.74772,1.04559,23.20972,13.27659,2.15197
2016-01-19,5.88449,0.88753,24.82674,17.66565,2.56534
2016-01-20,5.77507,1.00911,24.06079,15.73252,3.76899
2016-01-21,6.51671,1.05775,24.94832,14.60182,3.11246
2016-01-22,6.06686,1.10638,22.13981,12.30395,2.93009
2016-01-23,4.49848,0.88753,22.48024,11.45288,2.06686
2016-01-24,5.02127,0.86322,24.3161,17.04559,2.1155
2016-01-25,6.37082,0.9848,24.0,15.52583,2.4924
2016-01-26,38.78419,1.02127,23.69604,13.48328,2.83282
2016-01-27,14.90577,1.20364,23.73252,11.08814,2.69908
2016-01-28,9.81155,0.92401,24.693,10.54103,2.33434
2016-01-29,6.78419,0.88753,25.51975,10.74772,2.51671
2016-01-30,6.06686,0.77811,30.5775,8.99696,1.83586
2016-01-31,8.26747,1.16717,29.66565,9.26443,2.13981
2016-02-01,11.57446,0.8389,24.6079,10.23708,2.63829
2016-02-02,12.41337,1.0699,20.24316,9.87234,3.11246
2016-02-03,11.9392,1.00911,19.31914,10.13981,2.54103
2016-02-04,13.09422,0.89969,20.231,8.10942,2.32218
2016-02-05,12.34042,0.81458,19.29483,6.50455,1.9696
2016-02-06,12.3161,0.86322,19.06382,6.77203,1.8237
2016-02-07,11.59878,0.54711,16.52279,5.00911,1.54407
2016-02-08,9.10638,0.72948,20.3161,4.59574,1.17933
2016-02-09,10.33434,0.87537,23.42857,5.68996,1.68996
2016-02-10,11.22188,1.05775,22.21276,7.61094,2.41945
2016-02-11,9.81155,1.48328,20.92401,7.51367,3.12462
2016-02-12,8.10942,1.32522,23.91489,9.25227,2.67477
2016-02-13,7.67173,1.30091,22.06686,7.68389,2.44376
2016-02-14,6.66261,0.92401,22.58966,9.04559,2.50455
2016-02-15,9.33738,0.86322,20.68085,9.03343,2.96656
2016-02-16,10.55319,0.81458,20.32826,9.89665,2.61398
2016-02-17,10.97872,0.91185,21.99392,7.3313,2.5775
2016-02-18,12.36474,1.11854,21.31306,7.2462,2.88145
2016-02-19,12.65653,0.99696,19.44072,7.64741,2.96656
2016-02-20,10.73556,1.2158,19.41641,5.90881,2.41945
2016-02-21,10.78419,1.0699,21.03343,6.29787,2.78419
2016-02-22,13.32522,1.11854,20.35258,7.90273,2.80851
2016-02-23,12.54711,1.03343,22.26139,7.74468,3.1003
2016-02-24,11.58662,1.28875,29.76291,7.12462,3.39209
2016-02-25,11.35562,1.51975,26.32218,7.65957,2.97872
2016-02-26,12.34042,1.27659,21.47112,6.09118,3.11246
2016-02-27,12.79027,1.26443,20.92401,6.05471,2.79635
2016-02-28,12.30395,1.00911,21.43465,6.56534,2.89361
2016-02-29,24.27963,0.89969,20.79027,7.68389,2.94224
2016-03-01,32.63221,1.2158,20.09726,6.26139,3.23404
2016-03-02,28.68085,1.28875,18.15197,6.26139,3.6231
2016-03-03,27.27051,1.14285,16.01215,5.88449,3.41641
2016-03-04,23.64741,1.51975,15.87841,5.22796,3.12462
2016-03-05,19.48936,1.75075,19.61094,5.72644,3.46504
2016-03-06,22.52887,1.98176,20.0,5.78723,3.63525
2016-03-07,17.79939,1.68996,18.26139,5.92097,4.03647
2016-03-08,15.28267,1.28875,19.06382,5.77507,3.46504
2016-03-09,16.54711,1.11854,19.58662,6.00607,3.30699
2016-03-10,16.34042,1.55623,19.4772,5.81155,3.36778
2016-03-11,14.15197,0.9848,18.50455,8.0,3.18541
2016-03-12,14.03039,1.15501,19.87841,6.50455,2.58966
2016-03-13,13.99392,1.17933,19.9392,8.8389,2.97872
2016-03-14,13.28875,1.32522,16.97264,7.46504,3.53799
2016-03-15,30.94224,1.38601,17.5927,6.00607,3.76899
2016-03-16,20.94832,1.50759,18.65045,6.35866,4.03647
2016-03-17,19.75683,1.9696,17.78723,5.41033,3.92705
2016-03-18,20.17021,1.64133,18.18844,5.2158,3.73252
2016-03-19,19.3313,1.58054,17.49544,5.0699,3.35562
2016-03-20,18.00607,1.84802,19.7082,5.39817,3.87841
2016-03-21,16.82674,2.16413,17.75075,5.16717,4.32826
2016-03-22,14.93009,1.93313,17.86018,8.96048,4.59574
2016-03-23,14.74772,1.66565,19.42857,5.41033,4.35258
2016-03-24,15.90273,1.86018,18.80851,5.27659,4.10942
2016-03-25,16.68085,1.41033,18.69908,17.83586,3.84194
2016-03-26,13.9696,1.38601,19.57446,27.11246,3.59878
2016-03-27,15.51367,1.37386,20.38905,26.60182,3.59878
2016-03-28,15.2462,1.86018,19.69604,7.2462,5.04559
2016-03-29,18.18844,1.79939,20.17021,7.74468,5.15501
2016-03-30,18.9544,1.81155,18.40729,6.40729,5.68996
2016-03-31,18.99088,2.2006,17.16717,4.82674,5.25227
2016-04-01,16.85106,2.35866,15.90273,3.45288,5.45896
2016-04-02,19.08814,2.29787,18.28571,3.97568,5.00911
2016-04-03,18.3465,2.27355,22.73556,4.54711,5.0699
2016-04-04,21.45896,2.9544,19.58662,4.231,6.06686
2016-04-05,18.1155,2.56534,19.9392,4.63221,5.54407
2016-04-06,22.28571,2.32218,17.94528,5.14285,6.04255
2016-04-07,22.94224,2.31003,19.55015,4.59574,5.47112
2016-04-08,20.43768,2.4924,17.65349,4.49848,5.81155
2016-04-09,18.80851,2.26139,19.36778,3.61094,4.231
2016-04-10,16.07294,2.83282,19.56231,4.54711,4.91185
2016-04-11,18.39513,2.67477,18.41945,4.37689,5.38601
2016-04-12,21.86018,2.58966,19.45288,3.98784,5.25227
2016-04-13,24.14589,2.83282,20.97264,3.76899,4.32826
2016-04-14,21.65349,2.54103,19.75683,4.09726,5.67781
2016-04-15,21.8237,2.88145,20.29179,3.18541,5.90881
2016-04-16,17.95744,2.55319,21.27659,4.40121,4.6079
2016-04-17,18.4924,2.89361,21.54407,4.80243,5.88449
2016-04-18,21.58054,3.13677,20.44984,5.10638,6.73556
2016-04-19,24.62006,2.93009,20.12158,4.18237,6.46808
2016-04-20,23.23404,2.54103,19.63525,4.64437,5.70212
2016-04-21,20.20668,2.37082,20.52279,5.72644,5.50759
2016-04-22,19.78115,3.27051,17.38601,4.29179,5.30091
2016-04-23,24.37689,2.7234,18.94224,4.25531,4.48632
2016-04-24,26.27355,3.12462,19.1003,4.53495,5.90881
2016-04-25,29.58054,4.13373,16.76595,4.02431,7.12462
2016-04-26,28.71732,4.42553,17.77507,4.37689,8.48632
2016-04-27,24.49848,2.67477,20.25531,4.8389,6.85714
2016-04-28,26.43161,3.17325,18.83282,4.20668,7.19756
2016-04-29,27.59878,2.90577,16.85106,3.7082,6.21276
2016-04-30,28.88753,2.58966,16.71732,3.35562,5.7386
2016-05-01,29.95744,3.52583,17.5927,3.8541,7.16109
2016-05-02,31.44072,3.80547,16.44984,3.78115,8.6079
2016-05-03,29.24012,2.61398,20.71732,4.37689,8.26747
2016-05-04,28.92401,3.19756,18.40729,3.3313,7.07598
2016-05-05,32.06079,2.88145,15.48936,3.00303,6.44376
2016-05-06,29.13069,2.75987,19.55015,4.44984,6.55319
2016-05-07,28.93617,2.9544,17.53191,3.4772,6.40729
2016-05-08,28.8389,2.63829,18.66261,3.37993,7.46504
2016-05-09,30.62613,3.53799,16.29179,3.58662,9.41033
2016-05-10,33.86018,2.85714,19.13677,4.47416,7.44072
2016-05-11,36.97264,3.58662,17.45896,3.90273,8.30395
2016-05-12,29.16717,3.82978,17.11854,3.63525,8.53495
2016-05-13,23.31914,3.01519,16.15805,3.29483,7.23404
2016-05-14,24.91185,2.38297,16.51063,3.39209,7.06382
2016-05-15,22.52887,2.79635,19.2462,3.4772,7.82978
2016-05-16,24.6079,2.89361,16.59574,10.26139,8.231
2016-05-17,29.00911,4.42553,18.27355,3.30699,8.68085
2016-05-18,28.66869,5.49544,16.462,4.93617,10.90577
2016-05-19,34.51671,5.48328,15.76899,3.79331,12.76595
2016-05-20,30.37082,6.13981,15.79331,2.88145,12.07294
2016-05-21,29.51975,4.49848,16.19452,3.16109,9.64133
2016-05-22,30.68693,4.94832,15.01519,3.03951,11.2462
2016-05-23,29.56838,5.72644,17.92097,3.52583,13.83586
2016-05-24,24.29179,2.83282,19.68389,4.15805,10.39513
2016-05-25,35.56231,4.09726,18.4924,3.61094,11.3313
2016-05-26,41.02127,3.8541,17.70212,3.79331,10.75987
2016-05-27,45.39817,3.59878,16.32826,4.01215,9.75075
2016-05-28,34.51671,3.08814,15.36778,3.80547,7.96352
2016-05-29,37.09422,9.2158,17.26443,3.8541,8.32826
2016-05-30,33.30091,4.93617,16.0851,3.8541,11.13677
2016-05-31,30.32218,6.78419,17.95744,5.0699,11.45288
2016-06-01,28.48632,5.27659,16.13373,3.95136,12.25531
2016-06-02,30.39513,5.22796,16.8389,3.7082,10.79635
2016-06-03,28.77811,4.21884,17.19148,3.45288,10.03039
2016-06-04,27.02735,3.19756,17.13069,4.43768,7.46504
2016-06-05,28.32826,3.61094,16.9848,3.50151,7.23404
2016-06-06,30.69908,3.29483,20.58358,4.41337,9.05775
2016-06-07,31.65957,3.35562,17.67781,3.67173,10.56534
2016-06-08,34.74772,4.48632,17.76291,3.42857,10.91793
2016-06-09,42.39513,5.03343,17.68996,3.67173,11.01519
2016-06-10,37.17933,4.15805,17.10638,2.88145,9.04559
2016-06-11,33.13069,3.75683,17.87234,3.02735,8.462
2016-06-12,32.30395,3.86626,18.7234,3.63525,8.54711
2016-06-13,34.00607,4.55927,20.30395,3.28267,11.25835
2016-06-14,31.65957,4.86322,18.22492,3.51367,10.88145
2016-06-15,26.38297,3.25835,19.35562,3.63525,9.02127
2016-06-16,26.45592,3.22188,17.00911,3.41641,8.80243
2016-06-17,29.5927,3.78115,15.97568,2.82066,8.59574
2016-06-18,37.20364,3.3313,15.84194,3.22188,8.81458
2016-06-19,32.19452,3.36778,16.06079,3.6231,9.30091
2016-06-20,34.73556,3.68389,15.69604,3.08814,10.88145
2016-06-21,31.45288,3.82978,16.26747,3.17325,10.77203
2016-06-22,27.00303,3.74468,18.5775,3.80547,10.33434
2016-06-23,29.48328,4.57142,17.17933,3.67173,10.77203
2016-06-24,23.57446,2.90577,17.72644,3.18541,8.66869
2016-06-25,23.98784,2.71124,17.10638,3.14893,7.02735
2016-06-26,27.73252,3.36778,18.33434,3.25835,7.98784
2016-06-27,26.09118,3.36778,17.30091,3.11246,9.17933
2016-06-28,27.11246,3.72036,17.8237,3.56231,9.30091
2016-06-29,27.07598,4.13373,16.0851,3.37993,9.32522
2016-06-30,29.77507,3.58662,16.88753,3.13677,9.5927
2016-07-01,20.10942,2.45592,17.04559,3.59878,7.48936
2016-07-02,23.91489,2.69908,17.43465,2.99088,6.60182
2016-07-03,24.0,2.97872,17.13069,3.17325,6.68693
2016-07-04,21.05775,2.80851,16.68085,3.57446,8.06079
2016-07-05,20.93617,2.62613,18.38297,3.78115,8.07294
2016-07-06,23.34346,3.56231,17.70212,3.41641,9.79939
2016-07-07,24.66869,3.81762,16.44984,3.00303,9.66565
2016-07-08,25.22796,4.38905,15.18541,2.85714,9.39817
2016-07-09,26.3465,3.81762,15.12462,2.46808,9.09422
2016-07-10,31.17325,4.12158,15.19756,3.18541,8.94832
2016-07-11,29.10638,4.65653,15.8541,3.34346,11.31914
2016-07-12,27.36778,4.25531,16.35258,2.97872,11.01519
2016-07-13,27.6231,4.30395,15.67173,3.05167,11.6231
2016-07-14,27.40425,4.80243,15.50151,3.22188,10.85714
2016-07-15,24.6079,3.64741,15.08814,2.43161,9.10638
2016-07-16,19.59878,2.13981,17.90881,3.20972,6.60182
2016-07-17,20.40121,2.55319,15.68389,3.07598,6.83282
2016-07-18,23.1003,3.65957,15.28267,3.45288,8.79027
2016-07-19,27.76899,3.64741,17.32522,3.4772,9.3617
2016-07-20,28.68085,4.47416,16.24316,3.31914,9.13069
2016-07-21,26.75987,4.12158,16.96048,3.12462,9.54407
2016-07-22,23.52583,3.95136,16.29179,2.94224,8.57142
2016-07-23,23.46504,3.63525,15.07598,2.35866,6.99088
2016-07-24,22.48024,3.6231,15.11246,2.63829,7.36778
2016-07-25,23.36778,3.92705,15.64741,3.35562,9.08206
2016-07-26,23.36778,3.91489,15.61094,3.30699,11.17325
2016-07-27,20.44984,3.57446,15.74468,3.36778,9.17933
2016-07-28,21.17933,3.89057,16.09726,3.7082,9.61702
2016-07-29,18.44376,3.2462,15.06382,2.85714,7.6231
2016-07-30,18.55319,2.88145,14.35866,2.17629,6.99088
2016-07-31,19.40425,3.22188,14.55319,2.80851,8.03647
2016-08-01,19.51367,3.74468,15.72036,2.67477,8.6079
2016-08-02,19.3313,3.41641,16.87537,3.35562,8.59574
2016-08-03,21.4468,3.6231,18.29787,3.46504,8.35258
2016-08-04,29.28875,3.74468,17.70212,3.16109,9.8237
2016-08-05,32.0,4.07294,16.25531,2.97872,8.57142
2016-08-06,28.82674,3.3313,15.30699,2.78419,8.12158
2016-08-07,20.58358,4.21884,16.21884,2.82066,8.59574
2016-08-08,24.15805,4.38905,16.15805,2.82066,10.13981
2016-08-09,23.19756,4.26747,17.45896,3.29483,10.99088
2016-08-10,22.61398,4.09726,17.03343,3.13677,10.97872
2016-08-11,21.84802,4.35258,16.82674,3.20972,10.82066
2016-08-12,20.37689,4.01215,16.29179,2.63829,9.03343
2016-08-13,18.71124,3.56231,15.73252,2.50455,7.98784
2016-08-14,18.67477,3.40425,16.02431,2.91793,6.62613
2016-08-15,18.23708,3.9392,16.89969,3.11246,8.38905
2016-08-16,19.74468,3.65957,17.32522,3.2462,9.10638
2016-08-17,20.10942,3.63525,17.89665,3.19756,10.1155
2016-08-18,18.06686,3.87841,16.59574,3.80547,8.65653
2016-08-19,17.62917,3.36778,17.38601,3.40425,8.15805
2016-08-20,16.72948,2.60182,16.9848,3.34346,6.66261
2016-08-21,20.96048,2.84498,18.12765,3.11246,7.35562
2016-08-22,25.16717,3.39209,16.66869,3.90273,9.04559
2016-08-23,21.64133,3.03951,17.37386,3.6231,9.14285
2016-08-24,19.23404,3.12462,17.15501,3.29483,9.56838
2016-08-25,17.25227,2.82066,16.97264,4.70516,8.51063
2016-08-26,14.21276,1.88449,17.16717,4.40121,6.35866
2016-08-27,15.76899,1.70212,18.1155,3.72036,5.16717
2016-08-28,12.93617,1.77507,19.56231,5.0699,5.33738
2016-08-29,44.29179,1.72644,16.91185,5.86018,5.4468
2016-08-30,18.60182,1.77507,19.08814,5.86018,5.24012
2016-08-31,12.65653,1.72644,22.35866,6.71124,4.62006
2016-09-01,14.51671,1.90881,18.2006,5.7386,5.33738
2016-09-02,13.20364,1.84802,20.04863,5.27659,4.70516
2016-09-03,15.27051,1.78723,17.98176,4.462,4.35258
2016-09-04,13.8237,2.00607,20.07294,4.97264,6.46808
2016-09-05,17.93313,1.94528,17.67781,5.99392,7.28267
2016-09-06,33.04559,1.70212,19.08814,4.96048,6.61398
2016-09-07,15.25835,1.88449,19.51367,4.87537,5.77507
2016-09-08,14.61398,1.77507,18.40729,4.9848,5.2158
2016-09-09,14.94224,1.83586,16.86322,4.0851,4.70516
2016-09-10,11.9392,1.54407,16.47416,4.20668,4.76595
2016-09-11,12.25531,2.01823,18.26139,5.42249,4.12158
2016-09-12,11.13677,1.26443,16.32826,4.0851,3.41641
2016-09-13,12.8389,1.72644,15.03951,3.06382,2.84498
2016-09-14,10.68693,1.42249,13.78723,2.4924,2.51671
2016-09-15,8.81458,1.15501,14.79635,2.7234,2.43161
2016-09-16,10.06686,1.33738,18.1155,3.89057,2.99088
2016-09-17,10.06686,1.56838,21.33738,5.67781,3.68389
2016-09-18,9.5927,1.62917,20.72948,5.38601,4.65653
2016-09-19,10.66261,1.72644,18.52887,5.38601,5.16717
2016-09-20,11.25835,1.71428,20.03647,6.58966,5.27659
2016-09-21,11.44072,1.95744,19.42857,6.75987,4.91185
2016-09-22,11.67173,1.4468,20.15805,5.60486,4.99696
2016-09-23,12.21884,1.28875,18.06686,5.65349,4.6079
2016-09-24,11.67173,1.41033,18.58966,4.65653,3.68389
2016-09-25,11.7082,1.42249,19.74468,6.09118,3.8541
2016-09-26,11.34346,1.66565,19.22188,6.84498,4.68085
2016-09-27,12.88753,1.4468,22.06686,6.38297,4.93617
2016-09-28,10.93009,1.53191,20.15805,6.4924,4.35258
2016-09-29,10.3465,1.20364,20.93617,6.58966,4.21884
2016-09-30,10.31003,1.22796,20.82674,5.45896,3.74468
2016-10-01,8.231,0.96048,20.29179,5.37386,2.61398
2016-10-02,8.81458,1.13069,21.66565,6.26139,3.3313
2016-10-03,9.61702,1.75075,20.79027,5.42249,3.91489
2016-10-04,10.28571,1.62917,20.14589,6.15197,4.36474
2016-10-05,11.92705,1.48328,19.07598,6.83282,3.90273
2016-10-06,15.73252,1.60486,21.04559,6.71124,4.35258
2016-10-07,8.18237,1.27659,20.58358,6.74772,3.68389
2016-10-08,7.96352,0.94832,21.61702,6.61398,3.14893
2016-10-09,7.11246,0.9848,24.18237,9.08206,3.20972
2016-10-10,8.41337,0.92401,22.50455,12.27963,3.36778
2016-10-11,8.42553,0.94832,22.75987,10.10334,3.07598
2016-10-12,8.09726,1.04559,23.76899,10.21276,3.59878
2016-10-13,7.41641,1.13069,23.91489,11.39209,3.2462
2016-10-14,8.89969,1.39817,21.5927,8.25531,3.58662
2016-10-15,7.7082,1.0699,21.2158,6.55319,3.22188
2016-10-16,8.01215,0.99696,25.02127,10.74772,3.44072
2016-10-17,8.72948,1.41033,20.99696,9.32522,4.18237
2016-10-18,7.61094,1.24012,21.87234,8.97264,3.82978
2016-10-19,7.42857,1.47112,22.54103,9.43465,4.19452
2016-10-20,7.16109,1.25227,21.90881,8.93617,4.38905
2016-10-21,6.03039,1.15501,21.03343,8.52279,3.31914
2016-10-22,7.7082,0.94832,19.34346,6.84498,2.91793
2016-10-23,6.68693,1.02127,24.32826,10.73556,3.14893
2016-10-24,7.45288,1.19148,20.41337,10.58966,3.89057
2016-10-25,7.76899,1.08206,22.68693,12.20668,3.67173
2016-10-26,9.64133,0.93617,21.84802,10.4924,2.88145
2016-10-27,10.62613,0.92401,21.86018,10.54103,3.79331
2016-10-28,9.2158,0.8389,20.41337,9.87234,3.14893
2016-10-29,6.12765,0.64437,18.54103,9.76291,2.75987
2016-10-30,6.27355,0.80243,21.32522,12.52279,2.23708
2016-10-31,5.56838,0.94832,21.67781,17.55623,3.05167
2016-11-01,5.31306,0.64437,23.59878,20.01215,2.41945
2016-11-02,5.48328,0.82674,24.01215,19.25835,2.89361
2016-11-03,5.38601,0.62006,22.96656,16.97264,2.93009
2016-11-04,6.4924,0.65653,20.91185,13.17933,2.55319
2016-11-05,7.58662,0.693,19.86626,10.60182,2.12765
2016-11-06,9.41033,0.88753,21.61702,12.42553,2.52887
2016-11-07,9.39817,0.81458,20.19452,16.52279,3.58662
2016-11-08,7.23404,0.77811,22.54103,18.99088,2.7234
2016-11-09,7.14893,0.89969,25.60486,18.60182,2.50455
2016-11-10,6.61398,0.82674,23.28267,17.48328,2.71124
2016-11-11,6.93009,0.64437,19.19756,12.231,2.56534
2016-11-12,7.30699,0.64437,18.56534,9.38601,2.1155
2016-11-13,7.87841,0.9848,19.59878,12.20668,2.45592
2016-11-14,8.04863,1.16717,22.41945,15.57446,3.3313
2016-11-15,7.28267,0.6079,22.71124,16.01215,3.20972
2016-11-16,7.52583,0.89969,24.44984,16.07294,3.19756
2016-11-17,7.76899,0.80243,22.65045,13.3617,3.06382
