datetime,coco
2016-01-01,12.9575
2016-01-02,13.10475
2016-01-03,16.04964
2016-01-04,20.34076
2016-01-05,20.48801
2016-01-06,19.79385
2016-01-07,21.45561
2016-01-08,19.0366
2016-01-09,15.56583
2016-01-10,16.36516
2016-01-11,20.21455
2016-01-12,21.28733
2016-01-13,20.95077
2016-01-14,20.8456
2016-01-15,17.7745
2016-01-16,13.86201
2016-01-17,20.74042
2016-01-18,22.97013
2016-01-19,30.56373
2016-01-20,27.21918
2016-01-21,25.26293
2016-01-22,21.28733
2016-01-23,19.81489
2016-01-24,29.49095
2016-01-25,26.86159
2016-01-26,23.32772
2016-01-27,19.18384
2016-01-28,18.23727
2016-01-29,18.59486
2016-01-30,15.56583
2016-01-31,16.0286
2016-02-01,17.7114
2016-02-02,17.08035
2016-02-03,17.54312
2016-02-04,14.03029
2016-02-05,11.25368
2016-02-06,11.71644
2016-02-07,8.66638
2016-02-08,7.95119
2016-02-09,9.84434
2016-02-10,13.16785
2016-02-11,12.99957
2016-02-12,16.00757
2016-02-13,13.29406
2016-02-14,15.64997
2016-02-15,15.62894
2016-02-16,17.12242
2016-02-17,12.68405
2016-02-18,12.53681
2016-02-19,13.23096
2016-02-20,10.22297
2016-02-21,10.89608
2016-02-22,13.67269
2016-02-23,13.39924
2016-02-24,12.32646
2016-02-25,13.25199
2016-02-26,10.53849
2016-02-27,10.47538
2016-02-28,11.35885
2016-02-29,13.29406
2016-03-01,10.83298
2016-03-02,10.83298
2016-03-03,10.1809
2016-03-04,9.04501
2016-03-05,9.90744
2016-03-06,10.01262
2016-03-07,10.244
2016-03-08,9.99158
2016-03-09,10.39124
2016-03-10,10.05469
2016-03-11,13.84097
2016-03-12,11.25368
2016-03-13,15.29238
2016-03-14,12.91543
2016-03-15,10.39124
2016-03-16,11.00126
2016-03-17,9.36053
2016-03-18,9.02397
2016-03-19,8.77156
2016-03-20,9.3395
2016-03-21,8.93984
2016-03-22,15.50273
2016-03-23,9.36053
2016-03-24,9.12915
2016-03-25,30.85822
2016-03-26,46.90786
2016-03-27,46.0244
2016-03-28,12.53681
2016-03-29,13.39924
2016-03-30,11.0854
2016-03-31,8.35086
2016-04-01,5.97391
2016-04-02,6.87841
2016-04-03,7.86705
2016-04-04,7.32015
2016-04-05,8.0143
2016-04-06,8.89777
2016-04-07,7.95119
2016-04-08,7.78291
2016-04-09,6.24737
2016-04-10,7.86705
2016-04-11,7.57257
2016-04-12,6.89945
2016-04-13,6.52082
2016-04-14,7.08876
2016-04-15,5.51114
2016-04-16,7.61464
2016-04-17,8.30879
2016-04-18,8.83466
2016-04-19,7.23601
2016-04-20,8.03533
2016-04-21,9.90744
2016-04-22,7.42532
2016-04-23,7.36222
2016-04-24,7.84602
2016-04-25,6.96255
2016-04-26,7.57257
2016-04-27,8.37189
2016-04-28,7.27808
2016-04-29,6.41564
2016-04-30,5.80563
2016-05-01,6.66806
2016-05-02,6.54185
2016-05-03,7.57257
2016-05-04,5.76356
2016-05-05,5.19562
2016-05-06,7.69877
2016-05-07,6.01598
2016-05-08,5.8477
2016-05-09,6.2053
2016-05-10,7.74084
2016-05-11,6.7522
2016-05-12,6.28944
2016-05-13,5.70046
2016-05-14,5.86874
2016-05-15,6.01598
2016-05-16,17.75347
2016-05-17,5.72149
2016-05-18,8.54017
2016-05-19,6.56289
2016-05-20,4.98527
2016-05-21,5.46907
2016-05-22,5.25872
2016-05-23,6.10012
2016-05-24,7.19394
2016-05-25,6.24737
2016-05-26,6.56289
2016-05-27,6.94152
2016-05-28,6.58392
2016-05-29,6.66806
2016-05-30,6.66806
2016-05-31,8.77156
2016-06-01,6.83634
2016-06-02,6.41564
2016-06-03,5.97391
2016-06-04,7.67774
2016-06-05,6.05805
2016-06-06,7.63567
2016-06-07,6.35254
2016-06-08,5.93184
2016-06-09,6.35254
2016-06-10,4.98527
2016-06-11,5.23769
2016-06-12,6.28944
2016-06-13,5.67942
2016-06-14,6.07909
2016-06-15,6.28944
