datetime,ia
2016-01-01,5.40897
2016-01-02,6.33245
2016-01-03,8.97097
2016-01-04,8.70712
2016-01-05,7.12401
2016-01-06,5.80474
2016-01-07,8.17941
2016-01-08,6.86015
2016-01-09,6.99208
2016-01-10,7.25593
2016-01-11,8.44327
2016-01-12,7.91556
2016-01-13,9.23482
2016-01-14,8.31134
2016-01-15,8.57519
2016-01-16,11.74142
2016-01-17,8.04749
2016-01-18,11.34564
2016-01-19,9.6306
2016-01-20,10.94986
2016-01-21,11.47757
2016-01-22,12.00527
2016-01-23,9.6306
2016-01-24,9.36675
2016-01-25,10.68601
2016-01-26,11.08179
2016-01-27,13.06068
2016-01-28,10.02638
2016-01-29,9.6306
2016-01-30,8.44327
2016-01-31,12.6649
2016-02-01,9.1029
2016-02-02,11.60949
2016-02-03,10.94986
2016-02-04,9.76253
2016-02-05,8.83905
2016-02-06,9.36675
2016-02-07,5.93667
2016-02-08,7.91556
2016-02-09,9.49868
2016-02-10,11.47757
2016-02-11,16.09498
2016-02-12,14.37994
2016-02-13,14.11609
2016-02-14,10.02638
2016-02-15,9.36675
2016-02-16,8.83905
2016-02-17,9.89445
2016-02-18,12.1372
2016-02-19,10.81794
2016-02-20,13.19261
2016-02-21,11.60949
2016-02-22,12.1372
2016-02-23,11.21372
2016-02-24,13.98416
2016-02-25,16.49076
2016-02-26,13.85224
2016-02-27,13.72031
2016-02-28,10.94986
2016-02-29,9.76253
2016-03-01,13.19261
2016-03-02,13.98416
2016-03-03,12.40105
2016-03-04,16.49076
2016-03-05,18.99736
2016-03-06,21.50395
2016-03-07,18.33773
2016-03-08,13.98416
2016-03-09,12.1372
2016-03-10,16.88654
2016-03-11,10.68601
2016-03-12,12.53298
2016-03-13,12.79683
2016-03-14,14.37994
2016-03-15,15.03957
2016-03-16,16.35883
2016-03-17,21.37203
2016-03-18,17.81002
2016-03-19,17.15039
2016-03-20,20.05277
2016-03-21,23.48284
2016-03-22,20.97625
2016-03-23,18.07387
2016-03-24,20.18469
2016-03-25,15.30343
2016-03-26,15.03957
2016-03-27,14.90765
