datetime,icetea
2016-01-01,6.73244
2016-01-02,8.24143
2016-01-03,10.85316
2016-01-04,10.09866
2016-01-05,10.9112
2016-01-06,10.33081
2016-01-07,11.54962
2016-01-08,9.11201
2016-01-09,8.6477
2016-01-10,11.14335
2016-01-11,10.56297
2016-01-12,12.53627
2016-01-13,12.24608
2016-01-14,12.94254
2016-01-15,11.66569
2016-01-16,8.12536
2016-01-17,10.79512
2016-01-18,10.27278
2016-01-19,12.24608
2016-01-20,17.99187
2016-01-21,14.8578
2016-01-22,13.98723
2016-01-23,9.86651
2016-01-24,10.09866
2016-01-25,11.89785
2016-01-26,13.52292
2016-01-27,12.8845
2016-01-28,11.14335
2016-01-29,12.01392
2016-01-30,8.76378
2016-01-31,10.21474
2016-02-01,12.59431
2016-02-02,14.8578
2016-02-03,12.13
2016-02-04,11.08531
2016-02-05,9.4022
2016-02-06,8.70574
2016-02-07,7.37086
2016-02-08,5.62971
2016-02-09,8.06732
2016-02-10,11.54962
2016-02-11,14.91584
2016-02-12,12.76842
2016-02-13,11.66569
2016-02-14,11.95589
2016-02-15,14.16134
2016-02-16,12.47823
2016-02-17,12.30412
2016-02-18,13.75507
2016-02-19,14.16134
2016-02-20,11.54962
2016-02-21,13.29077
2016-02-22,13.40684
2016-02-23,14.79976
2016-02-24,16.19268
2016-02-25,14.21938
2016-02-26,14.8578
2016-02-27,13.34881
2016-02-28,13.81311
2016-02-29,14.04526
2016-03-01,15.43818
2016-03-02,17.29541
2016-03-03,16.30876
2016-03-04,14.91584
2016-03-05,16.54091
2016-03-06,17.35345
2016-03-07,19.26871
2016-03-08,16.54091
2016-03-09,15.78641
2016-03-10,16.07661
2016-03-11,15.20603
2016-03-12,12.36215
2016-03-13,14.21938
2016-03-14,16.88914
2016-03-15,17.99187
2016-03-16,19.26871
2016-03-17,18.74637
2016-03-18,17.81775
2016-03-19,16.01857
2016-03-20,18.51421
2016-03-21,20.66163
2016-03-22,21.93847
2016-03-23,20.77771
2016-03-24,19.61694
2016-03-25,18.3401
2016-03-26,17.17933
2016-03-27,17.17933
2016-03-28,24.08589
2016-03-29,24.60824
2016-03-30,27.16192
2016-03-31,25.07254
2016-04-01,26.05919
2016-04-02,23.91178
2016-04-03,24.20197
2016-04-04,28.96111
2016-04-05,26.46546
2016-04-06,28.84503
2016-04-07,26.11723
2016-04-08,27.7423
2016-04-09,20.19733
2016-04-10,23.44747
2016-04-11,25.71096
2016-04-12,25.07254
2016-04-13,20.66163
2016-04-14,27.10388
2016-04-15,28.20661
2016-04-16,21.99651
2016-04-17,28.09053
2016-04-18,32.15322
2016-04-19,30.87637
2016-04-20,27.21996
2016-04-21,26.29135
2016-04-22,25.3047
2016-04-23,21.41613
2016-04-24,28.20661
2016-04-25,34.01044
2016-04-26,40.51073
2016-04-27,32.7336
2016-04-28,34.35867
2016-04-29,29.65757
2016-04-30,27.39408
2016-05-01,34.18456
2016-05-02,41.09112
2016-05-03,39.46604
2016-05-04,33.77829
2016-05-05,30.7603
2016-05-06,31.28264
2016-05-07,30.58618
2016-05-08,35.63551
2016-05-09,44.92164
2016-05-10,35.51944
2016-05-11,39.64016
2016-05-12,40.74289
2016-05-13,34.53279
2016-05-14,33.72025
2016-05-15,37.37666
2016-05-16,39.29193
2016-05-17,41.43934
2016-05-18,52.06035
2016-05-19,60.94022
2016-05-20,57.63203
2016-05-21,46.02437
2016-05-22,53.68543
2016-05-23,66.04759
2016-05-24,49.62275
2016-05-25,54.0917
2016-05-26,51.3639
2016-05-27,46.54672
2016-05-28,38.01508
2016-05-29,39.75623
2016-05-30,53.16308
2016-05-31,54.67208
2016-06-01,58.50261
2016-06-02,51.53801
2016-06-03,47.8816
2016-06-04,35.63551
2016-06-05,34.53279
2016-06-06,43.23853
2016-06-07,50.43528
2016-06-08,52.11839
2016-06-09,52.5827
2016-06-10,43.18049
2016-06-11,40.39466
2016-06-12,40.80092
2016-06-13,53.74347
2016-06-14,51.94428
2016-06-15,43.06442
2016-06-16,42.01973
2016-06-17,41.03308
2016-06-18,42.07777
2016-06-19,44.3993
2016-06-20,51.94428
2016-06-21,51.42193
2016-06-22,49.33255
2016-06-23,51.42193
2016-06-24,41.38131
2016-06-25,33.54614
2016-06-26,38.13116
2016-06-27,43.81892
2016-06-28,44.3993
2016-06-29,44.51538
2016-06-30,45.79222
2016-07-01,35.75159
2016-07-02,31.51479
2016-07-03,31.92106
2016-07-04,38.47939
2016-07-05,38.53743
2016-07-06,46.77887
2016-07-07,46.14045
2016-07-08,44.8636
2016-07-09,43.41265
2016-07-10,42.71619
2016-07-11,54.03366
2016-07-12,52.5827
2016-07-13,55.48461
2016-07-14,51.8282
2016-07-15,43.47069
2016-07-16,31.51479
2016-07-17,32.61752
2016-07-18,41.96169
2016-07-19,44.68949
2016-07-20,43.58676
2016-07-21,45.56006
2016-07-22,40.917
2016-07-23,33.37202
2016-07-24,35.17121
2016-07-25,43.35461
2016-07-26,53.3372
2016-07-27,43.81892
2016-07-28,45.90829
2016-07-29,36.39001
2016-07-30,33.37202
2016-07-31,38.36331
2016-08-01,41.09112
2016-08-02,41.03308
2016-08-03,39.87231
2016-08-04,46.89495
2016-08-05,40.917
2016-08-06,38.76958
2016-08-07,41.03308
2016-08-08,48.40394
2016-08-09,52.46662
2016-08-10,52.40858
2016-08-11,51.65409
2016-08-12,43.12246
2016-08-13,38.13116
2016-08-14,31.63087
2016-08-15,40.04643
2016-08-16,43.47069
2016-08-17,48.28786
2016-08-18,41.32327
2016-08-19,38.9437
2016-08-20,31.80499
2016-08-21,35.11317
2016-08-22,43.18049
2016-08-23,43.6448
2016-08-24,45.67614
2016-08-25,40.62681
2016-08-26,30.35403
2016-08-27,24.66627
2016-08-28,25.47881
2016-08-29,26.00116
2016-08-30,25.0145
2016-08-31,22.05455
2016-09-01,25.47881
2016-09-02,22.46082
2016-09-03,20.77771
2016-09-04,30.87637
2016-09-05,34.76494
2016-09-06,31.57283
2016-09-07,27.56819
2016-09-08,24.89843
2016-09-09,22.46082
2016-09-10,22.75101
2016-09-11,19.67498
2016-09-12,16.30876
2016-09-13,13.58096
2016-09-14,12.01392
2016-09-15,11.60766
2016-09-16,14.27742
2016-09-17,17.5856
2016-09-18,22.22867
2016-09-19,24.66627
2016-09-20,25.18862
2016-09-21,23.44747
2016-09-22,23.85374
2016-09-23,21.99651
2016-09-24,17.5856
2016-09-25,18.39814
2016-09-26,22.34474
2016-09-27,23.56355
2016-09-28,20.77771
2016-09-29,20.13929
2016-09-30,17.87579
2016-10-01,12.47823
2016-10-02,15.90249
2016-10-03,18.68833
2016-10-04,20.83575
2016-10-05,18.63029
2016-10-06,20.77771
2016-10-07,17.5856
2016-10-08,15.03192
2016-10-09,15.32211
2016-10-10,16.07661
2016-10-11,14.68369
2016-10-12,17.17933
2016-10-13,15.49622
2016-10-14,17.1213
2016-10-15,15.38015
2016-10-16,16.42484
2016-10-17,19.96517
2016-10-18,18.28206
2016-10-19,20.02321
2016-10-20,20.95182
2016-10-21,15.84445
2016-10-22,13.92919
2016-10-23,15.03192
2016-10-24,18.57225
2016-10-25,17.52756
2016-10-26,13.75507
2016-10-27,18.10795
2016-10-28,15.03192
2016-10-29,13.17469
2016-10-30,10.67904
2016-10-31,14.56761
2016-11-01,11.54962
2016-11-02,13.81311
2016-11-03,13.98723
2016-11-04,12.18804
2016-11-05,10.1567
2016-11-06,12.07196
2016-11-07,17.1213
2016-11-08,13.00058
2016-11-09,11.95589
2016-11-10,12.94254
2016-11-11,12.24608
2016-11-12,10.09866
2016-11-13,11.72373
2016-11-14,15.90249
2016-11-15,15.32211
2016-11-16,15.26407
2016-11-17,14.62565
2016-11-18,12.8845
2016-11-19,11.25943
2016-11-20,11.54962
2016-11-21,13.87115
2016-11-22,12.82646
2016-11-23,10.96923
2016-11-24,12.82646
2016-11-25,9.92455
2016-11-26,12.13
2016-11-27,10.621
2016-11-28,12.18804
2016-11-29,13.23273
2016-11-30,12.65235
2016-12-01,10.621
2016-12-02,11.83981
2016-12-03,9.80847
2016-12-04,13.639
2016-12-05,13.52292
2016-12-06,12.30412
2016-12-07,12.94254
2016-12-08,13.639
2016-12-09,13.81311
2016-12-10,10.85316
2016-12-11,11.95589
2016-12-12,13.92919
2016-12-13,14.39349
2016-12-14,15.49622
2016-12-15,11.95589
2016-12-16,13.00058
2016-12-17,9.11201
2016-12-18,11.31746
2016-12-19,13.98723
2016-12-20,14.56761
2016-12-21,14.45153
2016-12-22,12.82646
2016-12-23,9.80847
