datetime,latte
2016-01-01,38.04705
2016-01-02,39.22352
2016-01-03,42.30588
2016-01-04,43.97647
2016-01-05,44.07058
2016-01-06,43.69411
2016-01-07,42.9647
2016-01-08,44.98823
2016-01-09,43.64705
2016-01-10,43.01176
2016-01-11,45.38823
2016-01-12,44.61176
2016-01-13,46.82352
2016-01-14,44.04705
2016-01-15,43.29411
2016-01-16,41.24705
2016-01-17,44.70588
2016-01-18,45.05882
2016-01-19,48.21176
2016-01-20,46.77647
2016-01-21,48.44705
2016-01-22,43.03529
2016-01-23,43.7647
2016-01-24,47.29411
2016-01-25,46.44705
2016-01-26,46.04705
2016-01-27,45.92941
2016-01-28,47.78823
2016-01-29,49.38823
2016-01-30,59.17647
2016-01-31,57.41176
2016-02-01,47.81176
2016-02-02,39.17647
2016-02-03,37.38823
2016-02-04,39.15294
2016-02-05,37.34117
2016-02-06,37.03529
2016-02-07,32.14117
2016-02-08,39.57647
2016-02-09,45.52941
2016-02-10,42.98823
2016-02-11,40.49411
2016-02-12,46.4
2016-02-13,42.70588
2016-02-14,43.83529
2016-02-15,40.18823
2016-02-16,39.52941
2016-02-17,42.72941
2016-02-18,41.24705
2016-02-19,37.7647
2016-02-20,37.57647
2016-02-21,40.70588
2016-02-22,39.38823
2016-02-23,43.08235
2016-02-24,57.74117
2016-02-25,51.08235
2016-02-26,41.69411
2016-02-27,40.49411
2016-02-28,41.6
2016-02-29,40.23529
2016-03-01,38.89411
2016-03-02,35.12941
2016-03-03,30.98823
2016-03-04,30.72941
2016-03-05,38.07058
2016-03-06,38.87058
2016-03-07,35.34117
2016-03-08,37.01176
2016-03-09,38.11764
2016-03-10,37.85882
2016-03-11,36.02352
2016-03-12,38.47058
2016-03-13,38.58823
2016-03-14,32.84705
2016-03-15,34.04705
2016-03-16,36.09411
2016-03-17,34.42352
2016-03-18,35.31764
2016-03-19,33.85882
2016-03-20,38.25882
2016-03-21,34.54117
2016-03-22,34.5647
2016-03-23,37.6
2016-03-24,36.4
2016-03-25,36.32941
2016-03-26,37.88235
2016-03-27,39.45882
2016-03-28,38.23529
2016-03-29,39.03529
2016-03-30,35.74117
2016-03-31,33.22352
2016-04-01,30.89411
2016-04-02,35.38823
2016-04-03,44.14117
2016-04-04,37.90588
2016-04-05,38.58823
2016-04-06,34.84705
2016-04-07,37.83529
2016-04-08,34.1647
2016-04-09,37.67058
2016-04-10,37.85882
2016-04-11,35.64705
2016-04-12,37.7647
2016-04-13,40.82352
2016-04-14,38.35294
2016-04-15,39.38823
2016-04-16,41.17647
2016-04-17,41.92941
2016-04-18,39.69411
2016-04-19,39.15294
2016-04-20,38.0
2016-04-21,39.71764
2016-04-22,33.7647
