weather.스,weather.stn_id,weather.pvn_nm,weather.bor_nm,weather.max_ta,weather.max_ws,weather.min_ta,weather.avg_ta,weather.avg_rhm,weather.avg_wa,weather.sum_rn
20160101,98,경기도,동두천시,6.5,3.8,-6.4,-0.2,74,0.9,0
20160102,98,경기도,동두천시,10.1,3.2,1.9,5.4,70,1.3,0
20160103,98,경기도,동두천시,9,2.4,2.1,4.7,82,0.7,0
20160104,98,경기도,동두천시,8,5.3,-3,1.9,55,2.2,0
20160105,98,경기도,동두천시,3.1,5.6,-6.4,-2.8,36,1.8,0
20160106,98,경기도,동두천시,4.4,5.4,-7.9,-2.4,55,1.5,0
20160107,98,경기도,동두천시,3.3,4.8,-8.8,-3.7,48,1.7,0
20160108,98,경기도,동두천시,3.3,5.2,-10,-4.1,50,1.3,0
20160109,98,경기도,동두천시,3,5.1,-9.8,-3.6,58,1.4,0
20160110,98,경기도,동두천시,5.8,6.2,-4.6,-0.5,42,1.8,0
20160111,98,경기도,동두천시,1.7,2.7,-9.4,-4.8,42,1.2,0
20160112,98,경기도,동두천시,2.3,4.7,-11.8,-5.9,45,1.5,0
20160113,98,경기도,동두천시,1.8,5.2,-11.8,-5.7,60,1.6,0
20160114,98,경기도,동두천시,0,3.5,-11.8,-4.8,47,0.8,0
20160115,98,경기도,동두천시,5.2,2.2,-9.2,-3.1,58,1,0
20160116,98,경기도,동두천시,1.7,2,-8.1,-3.1,77,0.6,0.3
20160117,98,경기도,동두천시,5.6,3.5,-4.6,-0.4,75,0.8,0
20160118,98,경기도,동두천시,-0.6,9.7,-13.2,-6.5,57,3.9,0.7
20160119,98,경기도,동두천시,-7.4,7.6,-16.5,-13.2,43,3.8,0
20160120,98,경기도,동두천시,-4.5,2.4,-17.4,-11.5,51,0.9,0
20160121,98,경기도,동두천시,-0.1,3.3,-12.8,-7.8,48,1.1,0
20160122,98,경기도,동두천시,-2.9,3.4,-14,-8.5,44,1.3,0
20160123,98,경기도,동두천시,-6.4,7.5,-16.9,-11.5,38,3.6,0
20160124,98,경기도,동두천시,-8,4.2,-19.3,-14.4,45,2,0
20160125,98,경기도,동두천시,-2.5,3.8,-17.4,-10.5,47,1,0
20160126,98,경기도,동두천시,2.1,5.2,-12.6,-4.4,59,1.3,0.3
20160127,98,경기도,동두천시,5.4,5,-7.8,-2,55,1.4,0
20160128,98,경기도,동두천시,5.1,3.2,-9.1,-1.9,55,1,0
20160129,98,경기도,동두천시,6.5,3.5,-3.5,0.9,47,1.7,0
20160130,98,경기도,동두천시,7.8,4.9,-4.5,0.5,57,1.4,0
20160131,98,경기도,동두천시,3.6,4.6,-6.8,-3.4,35,1.9,0
20160201,98,경기도,동두천시,1.4,4.3,-11.6,-6,34,1.5,0
20160202,98,경기도,동두천시,2.6,3.8,-13.2,-5.9,39,1.1,0
20160203,98,경기도,동두천시,5.2,4.5,-12.2,-4.1,51,1.2,0
20160204,98,경기도,동두천시,5.9,5.1,-7.3,-1.5,44,1.7,0
20160205,98,경기도,동두천시,5,6.6,-10.1,-3.1,38,1.5,0
20160206,98,경기도,동두천시,4.1,4.4,-9.9,-3.5,37,1.3,0
20160207,98,경기도,동두천시,5.1,3.9,-12,-4,41,1.3,0
20160208,98,경기도,동두천시,6,8.9,-8.8,-0.3,55,2.6,0
20160209,98,경기도,동두천시,8.4,7.3,-4.6,0.5,45,2.4,0
20160210,98,경기도,동두천시,11.8,3.1,-8,1.1,36,1.1,0
20160211,98,경기도,동두천시,15.7,4.6,-3.9,6.4,35,1.1,0.4
